Kommunkod,Kon,Aldersgrupp,Tillgangar2007,Average,AboveAvg
1262,man,50-64,2385,1323,1
1262,man,65-74,2443,1323,1
1262,man,75+,1672,1323,1
1262,woman,-19,4,1102,0
1262,woman,20-29,449,1102,0
1262,woman,30-49,1638,1102,1
1262,woman,50-64,1746,1102,1
1262,woman,65-74,1392,1102,1
1262,woman,75+,1205,1102,1
1262,total,-19,4,1212,0
1262,total,20-29,372,1212,0
1262,total,30-49,1687,1212,1
1262,total,50-64,2059,1212,1
1262,total,65-74,1909,1212,1
1262,total,75+,1394,1212,1
1263,man,-19,1,927,0
1263,man,20-29,418,927,0
1263,man,30-49,1229,927,1
1263,man,50-64,1573,927,1
1263,man,65-74,1963,927,1
1263,man,75+,1153,927,1
1263,woman,-19,2,730,0
1263,woman,20-29,354,730,0
1263,woman,30-49,1074,730,1
1263,woman,50-64,1319,730,1
1263,woman,65-74,955,730,1
1263,woman,75+,633,730,0
1263,total,-19,2,829,0
1263,total,20-29,387,829,0
1263,total,30-49,1151,829,1
1263,total,50-64,1446,829,1
1263,total,65-74,1472,829,1
1263,total,75+,852,829,1
1264,man,-19,2,859,0
1264,man,20-29,232,859,0
1264,man,30-49,1128,859,1
1264,man,50-64,1693,859,1
1264,man,65-74,1176,859,1
1264,man,75+,989,859,1
1264,woman,-19,9,589,0
1264,woman,20-29,261,589,0
1264,woman,30-49,843,589,1
1264,woman,50-64,1084,589,1
1264,woman,65-74,864,589,1
1264,woman,75+,441,589,0
1264,total,-19,5,724,0
1264,total,20-29,246,724,0
1264,total,30-49,987,724,1
1264,total,50-64,1392,724,1
1264,total,65-74,1027,724,1
1264,total,75+,665,724,0
1265,man,20-29,322,828,0
1265,man,30-49,1268,828,1
1265,man,50-64,1228,828,1
1265,man,65-74,1033,828,1
1265,man,75+,1082,828,1
1265,woman,-19,2,489,0
1265,woman,20-29,230,489,0
1265,woman,30-49,747,489,1
1265,woman,50-64,838,489,1
1265,woman,65-74,602,489,1
1265,woman,75+,361,489,0
1265,total,-19,2,661,0
1265,total,20-29,279,661,0
1265,total,30-49,1012,661,1
1265,total,50-64,1041,661,1
1265,total,65-74,823,661,1
1265,total,75+,682,661,1
1266,man,20-29,257,781,0
1266,man,30-49,1030,781,1
1266,man,50-64,1500,781,1
1266,man,65-74,1123,781,1
1266,man,75+,677,781,0
1266,woman,-19,2,467,0
1266,woman,20-29,184,467,0
1266,woman,30-49,673,467,1
1266,woman,50-64,869,467,1
1266,woman,65-74,647,467,1
1266,woman,75+,336,467,0
1266,total,-19,1,624,0
1266,total,20-29,222,624,0
1266,total,30-49,853,624,1
1266,total,50-64,1195,624,1
1266,total,65-74,889,624,1
1266,total,75+,476,624,0
1267,man,-19,3,876,0
1267,man,20-29,216,876,0
1267,man,30-49,1242,876,1
1267,man,50-64,1721,876,1
1267,man,65-74,1050,876,1
1267,man,75+,881,876,1
1267,woman,-19,2,525,0
1267,woman,20-29,226,525,0
1267,woman,30-49,763,525,1
1267,woman,50-64,906,525,1
1267,woman,65-74,768,525,1
1267,woman,75+,478,525,0
1267,total,-19,3,700,0
1267,total,20-29,221,700,0
1267,total,30-49,1001,700,1
1267,total,50-64,1322,700,1
1267,total,65-74,913,700,1
1267,total,75+,645,700,0
1270,man,-19,3,838,0
1270,man,20-29,276,838,0
1270,man,30-49,1263,838,1
1270,man,50-64,1398,838,1
1270,man,65-74,1184,838,1
1270,man,75+,768,838,0
1270,woman,-19,2,447,0
1270,woman,20-29,172,447,0
1270,woman,30-49,665,447,1
1270,woman,50-64,822,447,1
1270,woman,65-74,598,447,1
1270,woman,75+,305,447,0
1270,total,-19,3,642,0
1270,total,20-29,224,642,0
1270,total,30-49,964,642,1
1270,total,50-64,1116,642,1
1270,total,65-74,889,642,1
1270,total,75+,511,642,0
1272,man,20-29,192,485,0
1272,man,30-49,626,485,1
1272,man,50-64,844,485,1
1272,man,65-74,826,485,1
1272,man,75+,469,485,0
1272,woman,20-29,175,295,0
1272,woman,30-49,475,295,1
1272,woman,50-64,491,295,1
1272,woman,65-74,330,295,1
1272,woman,75+,220,295,0
1272,total,20-29,184,390,0
1272,total,30-49,551,390,1
1272,total,50-64,670,390,1
1272,total,65-74,581,390,1
1272,total,75+,326,390,0
1273,man,-19,1,645,0
1273,man,20-29,135,645,0
1273,man,30-49,762,645,1
1273,man,50-64,1191,645,1
1273,man,65-74,991,645,1
1273,man,75+,869,645,1
1273,woman,-19,2,315,0
1273,woman,20-29,104,315,0
1273,woman,30-49,408,315,1
1273,woman,50-64,605,315,1
1273,woman,65-74,424,315,1
1273,woman,75+,302,315,0
1273,total,-19,1,481,0
1273,total,20-29,120,481,0
1273,total,30-49,585,481,1
1273,total,50-64,910,481,1
1273,total,65-74,705,481,1
1273,total,75+,545,481,1
1275,man,20-29,210,466,0
1275,man,30-49,561,466,1
1275,man,50-64,962,466,1
1275,man,65-74,657,466,1
1275,man,75+,550,466,1
1275,woman,-19,3,269,0
1275,woman,20-29,114,269,0
1275,woman,30-49,485,269,1
1275,woman,50-64,463,269,1
1275,woman,65-74,292,269,1
1275,woman,75+,155,269,0
1275,total,-19,2,369,0
1275,total,20-29,164,369,0
1275,total,30-49,524,369,1
1275,total,50-64,721,369,1
1275,total,65-74,471,369,1
1275,total,75+,325,369,0
1276,man,-19,1,567,0
1276,man,20-29,165,567,0
1276,man,30-49,609,567,1
1276,man,50-64,1180,567,1
1276,man,65-74,873,567,1
1276,man,75+,624,567,1
1276,woman,-19,1,327,0
1276,woman,20-29,157,327,0
1276,woman,30-49,433,327,1
1276,woman,50-64,632,327,1
1276,woman,65-74,440,327,1
1276,woman,75+,265,327,0
1276,total,-19,1,448,0
1276,total,20-29,161,448,0
1276,total,30-49,524,448,1
1276,total,50-64,917,448,1
1276,total,65-74,659,448,1
1276,total,75+,409,448,0
1277,man,20-29,145,487,0
1277,man,30-49,673,487,1
1277,man,50-64,929,487,1
1277,man,65-74,814,487,1
1277,man,75+,583,487,1
1277,woman,20-29,204,321,0
1277,woman,30-49,525,321,1
1277,woman,50-64,519,321,1
1277,woman,65-74,415,321,1
1277,woman,75+,256,321,0
1277,total,-19,0,405,0
1277,total,20-29,173,405,0
1277,total,30-49,601,405,1
1277,total,50-64,727,405,1
1277,total,65-74,618,405,1
1277,total,75+,388,405,0
1278,man,-19,5,1369,0
1278,man,20-29,255,1369,0
1278,man,30-49,1570,1369,1
1278,man,50-64,2261,1369,1
1278,man,65-74,2334,1369,1
1278,man,75+,1533,1369,1
1278,woman,20-29,237,991,0
1278,woman,30-49,1115,991,1
1278,woman,50-64,1642,991,1
1278,woman,65-74,1600,991,1
1278,woman,75+,1057,991,1
1278,total,-19,4,1177,0
1278,total,20-29,246,1177,0
1278,total,30-49,1339,1177,1
1278,total,50-64,1950,1177,1
1278,total,65-74,1972,1177,1
1278,total,75+,1255,1177,1
1280,man,-19,3,582,0
1280,man,20-29,277,582,0
1280,man,30-49,726,582,1
1280,man,50-64,1063,582,1
1280,man,65-74,1060,582,1
1280,man,75+,928,582,1
1280,woman,-19,3,547,0
1280,woman,20-29,261,547,0
1280,woman,30-49,707,547,1
1280,woman,50-64,931,547,1
1280,woman,65-74,846,547,1
1280,woman,75+,831,547,1
1280,total,-19,3,564,0
1280,total,20-29,269,564,0
1280,total,30-49,717,564,1
1280,total,50-64,997,564,1
1280,total,65-74,944,564,1
1280,total,75+,866,564,1
1281,man,-19,5,795,0
1281,man,20-29,218,795,0
1281,man,30-49,1037,795,1
1281,man,50-64,1636,795,1
1281,man,65-74,1643,795,1
1281,man,75+,1682,795,1
1281,woman,-19,5,682,0
1281,woman,20-29,227,682,0
1281,woman,30-49,953,682,1
1281,woman,50-64,1365,682,1
1281,woman,65-74,1157,682,1
1281,woman,75+,789,682,1
1281,total,-19,5,738,0
1281,total,20-29,222,738,0
1281,total,30-49,996,738,1
1281,total,50-64,1497,738,1
1281,total,65-74,1385,738,1
1281,total,75+,1119,738,1
1282,man,-19,1,506,0
1282,man,20-29,132,506,0
1282,man,30-49,592,506,1
1282,man,50-64,1009,506,1
1282,man,65-74,865,506,1
1282,man,75+,666,506,1
1282,woman,-19,4,375,0
1282,woman,20-29,123,375,0
1282,woman,30-49,539,375,1
1282,woman,50-64,651,375,1
1282,woman,65-74,569,375,1
1282,woman,75+,371,375,0
1282,total,-19,2,440,0
1282,total,20-29,127,440,0
1282,total,30-49,566,440,1
1282,total,50-64,831,440,1
1282,total,65-74,714,440,1
1282,total,75+,483,440,1
1283,man,-19,2,658,0
1283,man,20-29,204,658,0
1283,man,30-49,842,658,1
1283,man,50-64,1225,658,1
1283,man,65-74,1137,658,1
1283,man,75+,908,658,1
1283,woman,-19,3,541,0
1283,woman,20-29,198,541,0
1283,woman,30-49,793,541,1
1283,woman,50-64,917,541,1
1283,woman,65-74,743,541,1
1283,woman,75+,559,541,1
1283,total,-19,2,598,0
1283,total,20-29,201,598,0
1283,total,30-49,818,598,1
1283,total,50-64,1069,598,1
1283,total,65-74,927,598,1
1283,total,75+,690,598,1
1284,man,-19,3,1059,0
1284,man,20-29,231,1059,0
1284,man,30-49,1243,1059,1
1284,man,50-64,1936,1059,1
1284,man,65-74,1828,1059,1
1284,man,75+,1153,1059,1
1284,woman,-19,5,852,0
1284,woman,20-29,283,852,0
1284,woman,30-49,1072,852,1
1284,woman,50-64,1502,852,1
1284,woman,65-74,1169,852,1
1284,woman,75+,833,852,0
1284,total,-19,4,953,0
1284,total,20-29,256,953,0
1284,total,30-49,1154,953,1
1284,total,50-64,1717,953,1
1284,total,65-74,1492,953,1
1284,total,75+,961,953,1
1285,man,-19,2,757,0
1285,man,20-29,192,757,0
1285,man,30-49,1022,757,1
1285,man,50-64,1468,757,1
1285,man,65-74,1301,757,1
1285,man,75+,868,757,1
1285,woman,-19,4,491,0
1285,woman,20-29,206,491,0
1285,woman,30-49,734,491,1
1285,woman,50-64,842,491,1
1285,woman,65-74,763,491,1
1285,woman,75+,464,491,0
1285,total,-19,3,625,0
1285,total,20-29,199,625,0
1285,total,30-49,880,625,1
1285,total,50-64,1164,625,1
1285,total,65-74,1031,625,1
1285,total,75+,629,625,1
1286,man,-19,3,847,0
1286,man,20-29,185,847,0
1286,man,30-49,1145,847,1
1286,man,50-64,1445,847,1
1286,man,65-74,1316,847,1
1286,man,75+,812,847,0
1286,woman,-19,3,594,0
1286,woman,20-29,183,594,0
1286,woman,30-49,849,594,1
1286,woman,50-64,985,594,1
1286,woman,65-74,768,594,1
1286,woman,75+,493,594,0
1286,total,-19,3,717,0
1286,total,20-29,184,717,0
1286,total,30-49,993,717,1
1286,total,50-64,1212,717,1
1286,total,65-74,1029,717,1
1286,total,75+,619,717,0
1287,man,-19,1,841,0
1287,man,20-29,264,841,0
1287,man,30-49,1021,841,1
1287,man,50-64,1625,841,1
1287,man,65-74,1423,841,1
1287,man,75+,839,841,0
1287,woman,-19,1,614,0
1287,woman,20-29,247,614,0
1287,woman,30-49,837,614,1
1287,woman,50-64,1143,614,1
1287,woman,65-74,904,614,1
1287,woman,75+,492,614,0
1287,total,-19,1,726,0
1287,total,20-29,256,726,0
1287,total,30-49,930,726,1
1287,total,50-64,1389,726,1
1287,total,65-74,1160,726,1
1287,total,75+,629,726,0
1290,man,-19,1,654,0
1290,man,20-29,151,654,0
1290,man,30-49,781,654,1
1290,man,50-64,1267,654,1
1290,man,65-74,1095,654,1
1290,man,75+,981,654,1
1290,woman,-19,2,439,0
1290,woman,20-29,138,439,0
1290,woman,30-49,620,439,1
1290,woman,50-64,821,439,1
1290,woman,65-74,658,439,1
1290,woman,75+,398,439,0
1290,total,-19,2,545,0
1290,total,20-29,145,545,0
1290,total,30-49,701,545,1
1290,total,50-64,1045,545,1
1290,total,65-74,869,545,1
1290,total,75+,624,545,1
1291,man,-19,3,1042,0
1291,man,20-29,183,1042,0
1291,man,30-49,1357,1042,1
1291,man,50-64,1781,1042,1
1291,man,65-74,1460,1042,1
1291,man,75+,1011,1042,0
1291,woman,-19,3,675,0
1291,woman,20-29,178,675,0
1291,woman,30-49,871,675,1
1291,woman,50-64,1123,675,1
1291,woman,65-74,1048,675,1
1291,woman,75+,514,675,0
1291,total,-19,3,854,0
1291,total,20-29,181,854,0
1291,total,30-49,1111,854,1
1291,total,50-64,1450,854,1
1291,total,65-74,1248,854,1
1291,total,75+,718,854,0
1292,man,-19,3,850,0
1292,man,20-29,158,850,0
1292,man,30-49,1048,850,1
1292,man,50-64,1735,850,1
1292,man,65-74,1335,850,1
1292,man,75+,867,850,1
1292,woman,-19,1,574,0
1292,woman,20-29,164,574,0
1292,woman,30-49,860,574,1
1292,woman,50-64,1047,574,1
1292,woman,65-74,742,574,1
1292,woman,75+,445,574,0
1292,total,-19,2,708,0
1292,total,20-29,161,708,0
1292,total,30-49,954,708,1
1292,total,50-64,1382,708,1
1292,total,65-74,1022,708,1
1292,total,75+,608,708,0
1293,man,-19,1,633,0
1293,man,20-29,118,633,0
1293,man,30-49,747,633,1
1293,man,50-64,1187,633,1
1293,man,65-74,1178,633,1
1293,man,75+,808,633,1
1293,woman,-19,2,355,0
1293,woman,20-29,135,355,0
1293,woman,30-49,517,355,1
1293,woman,50-64,657,355,1
1293,woman,65-74,514,355,1
1293,woman,75+,278,355,0
1293,total,-19,1,494,0
1293,total,20-29,126,494,0
1293,total,30-49,634,494,1
1293,total,50-64,930,494,1
1293,total,65-74,838,494,1
1293,total,75+,495,494,1
1315,man,20-29,158,789,0
1315,man,30-49,978,789,1
1315,man,50-64,1404,789,1
1315,man,65-74,1666,789,1
1315,man,75+,910,789,1
1315,woman,20-29,104,370,0
1315,woman,30-49,504,370,1
1315,woman,50-64,730,370,1
1315,woman,65-74,568,370,1
1315,woman,75+,378,370,1
1315,total,-19,1,582,0
1315,total,20-29,132,582,0
1315,total,30-49,751,582,1
1315,total,50-64,1093,582,1
1315,total,65-74,1112,582,1
1315,total,75+,596,582,1
1380,man,-19,1,733,0
1380,man,20-29,123,733,0
1380,man,30-49,892,733,1
1380,man,50-64,1427,733,1
1380,man,65-74,1440,733,1
1380,man,75+,1035,733,1
1380,woman,-19,1,515,0
1380,woman,20-29,120,515,0
1380,woman,30-49,759,515,1
1380,woman,50-64,907,515,1
1380,woman,65-74,778,515,1
1380,woman,75+,556,515,1
1380,total,-19,1,622,0
1380,total,20-29,121,622,0
1380,total,30-49,827,622,1
1380,total,50-64,1163,622,1
1380,total,65-74,1092,622,1
1380,total,75+,745,622,1
1381,man,-19,5,868,0
1381,man,20-29,222,868,0
1381,man,30-49,1046,868,1
1381,man,50-64,1560,868,1
1381,man,65-74,1388,868,1
1381,man,75+,1036,868,1
1381,woman,-19,2,514,0
1381,woman,20-29,150,514,0
1381,woman,30-49,703,514,1
1381,woman,50-64,889,514,1
1381,woman,65-74,821,514,1
1381,woman,75+,437,514,0
1381,total,-19,3,692,0
1381,total,20-29,188,692,0
1381,total,30-49,877,692,1
1381,total,50-64,1237,692,1
1381,total,65-74,1103,692,1
1381,total,75+,687,692,0
1382,man,-19,2,836,0
1382,man,20-29,171,836,0
1382,man,30-49,1020,836,1
1382,man,50-64,1718,836,1
1382,man,65-74,1405,836,1
1382,man,75+,829,836,0
1382,woman,-19,3,472,0
1382,woman,20-29,149,472,0
1382,woman,30-49,699,472,1
1382,woman,50-64,849,472,1
1382,woman,65-74,671,472,1
1382,woman,75+,406,472,0
1382,total,-19,2,655,0
1382,total,20-29,161,655,0
1382,total,30-49,862,655,1
1382,total,50-64,1288,655,1
1382,total,65-74,1032,655,1
1382,total,75+,586,655,0
1383,man,-19,2,776,0
1383,man,20-29,155,776,0
1383,man,30-49,985,776,1
1383,man,50-64,1404,776,1
1383,man,65-74,1399,776,1
1383,man,75+,978,776,1
1383,woman,-19,3,518,0
1383,woman,20-29,159,518,0
1383,woman,30-49,751,518,1
1383,woman,50-64,924,518,1
1383,woman,65-74,678,518,1
1383,woman,75+,491,518,0
1383,total,-19,2,646,0
1383,total,20-29,157,646,0
1383,total,30-49,869,646,1
1383,total,50-64,1164,646,1
1383,total,65-74,1037,646,1
1383,total,75+,692,646,1
1384,man,-19,2,1097,0
1384,man,20-29,231,1097,0
1384,man,30-49,1490,1097,1
1384,man,50-64,1982,1097,1
1384,man,65-74,2073,1097,1
1384,man,75+,1563,1097,1
1384,woman,-19,1,898,0
1384,woman,20-29,283,898,0
1384,woman,30-49,1356,898,1
1384,woman,50-64,1599,898,1
1384,woman,65-74,1214,898,1
1384,woman,75+,860,898,0
1384,total,-19,1,997,0
1384,total,20-29,256,997,0
1384,total,30-49,1421,997,1
1384,total,50-64,1789,997,1
1384,total,65-74,1643,997,1
1384,total,75+,1162,997,1
1401,man,-19,4,889,0
1401,man,20-29,220,889,0
1401,man,30-49,1243,889,1
1401,man,50-64,1583,889,1
1401,man,65-74,1769,889,1
1401,man,75+,1287,889,1
1401,woman,-19,3,741,0
1401,woman,20-29,263,741,0
1401,woman,30-49,1137,741,1
1401,woman,50-64,1333,741,1
1401,woman,65-74,1023,741,1
1401,woman,75+,733,741,0
1401,total,-19,3,815,0
1401,total,20-29,241,815,0
1401,total,30-49,1190,815,1
1401,total,50-64,1462,815,1
1401,total,65-74,1395,815,1
1401,total,75+,975,815,1
1402,man,-19,1,787,0
1402,man,20-29,130,787,0
1402,man,30-49,1067,787,1
1402,man,50-64,1438,787,1
1402,man,65-74,1673,787,1
1402,man,75+,1321,787,1
1402,woman,-19,1,692,0
1402,woman,20-29,168,692,0
1402,woman,30-49,1070,692,1
1402,woman,50-64,1235,692,1
1402,woman,65-74,991,692,1
1402,woman,75+,693,692,1
1402,total,-19,1,739,0
1402,total,20-29,149,739,0
1402,total,30-49,1069,739,1
1402,total,50-64,1337,739,1
1402,total,65-74,1317,739,1
1402,total,75+,948,739,1
1407,man,-19,1,1107,0
1407,man,20-29,314,1107,0
1407,man,30-49,1482,1107,1
1407,man,50-64,2007,1107,1
1407,man,65-74,1907,1107,1
1407,man,75+,1442,1107,1
1407,woman,-19,3,838,0
1407,woman,20-29,358,838,0
1407,woman,30-49,1259,838,1
1407,woman,50-64,1305,838,1
1407,woman,65-74,1094,838,1
1407,woman,75+,1017,838,1
1407,total,-19,2,973,0
1407,total,20-29,335,973,0
1407,total,30-49,1370,973,1
1407,total,50-64,1665,973,1
1407,total,65-74,1487,973,1
1407,total,75+,1192,973,1
1415,man,-19,3,759,0
1415,man,20-29,201,759,0
1415,man,30-49,1083,759,1
1415,man,50-64,1372,759,1
1415,man,65-74,1337,759,1
1415,man,75+,955,759,1
1415,woman,-19,1,593,0
1415,woman,20-29,246,593,0
1415,woman,30-49,916,593,1
1415,woman,50-64,1025,593,1
1415,woman,65-74,708,593,1
1415,woman,75+,559,593,0
1415,total,-19,2,676,0
1415,total,20-29,223,676,0
1415,total,30-49,999,676,1
1415,total,50-64,1197,676,1
1415,total,65-74,1013,676,1
1415,total,75+,736,676,1
1419,man,-19,3,965,0
1419,man,20-29,244,965,0
1419,man,30-49,1159,965,1
1419,man,50-64,1610,965,1
1419,man,65-74,1673,965,1
1419,man,75+,1321,965,1
1419,woman,-19,4,723,0
1419,woman,20-29,315,723,0
1419,woman,30-49,951,723,1
1419,woman,50-64,1207,723,1
1419,woman,65-74,950,723,1
1419,woman,75+,800,723,1
1419,total,-19,4,847,0
1419,total,20-29,276,847,0
1419,total,30-49,1057,847,1
1419,total,50-64,1411,847,1
1419,total,65-74,1331,847,1
1419,total,75+,1034,847,1
1421,man,20-29,229,869,0
1421,man,30-49,1065,869,1
1421,man,50-64,1370,869,1
1421,man,65-74,1482,869,1
1421,man,75+,1011,869,1
1421,woman,20-29,192,591,0
1421,woman,30-49,737,591,1
1421,woman,50-64,935,591,1
1421,woman,65-74,962,591,1
1421,woman,75+,637,591,1
1421,total,-19,1,732,0
1421,total,20-29,212,732,0
1421,total,30-49,901,732,1
1421,total,50-64,1158,732,1
1421,total,65-74,1243,732,1
1421,total,75+,798,732,1
1427,man,20-29,159,1003,0
1427,man,30-49,1134,1003,1
1427,man,50-64,1672,1003,1
1427,man,65-74,1707,1003,1
1427,man,75+,1149,1003,1
1427,woman,20-29,156,746,0
1427,woman,30-49,893,746,1
1427,woman,50-64,1247,746,1
1427,woman,65-74,985,746,1
1427,woman,75+,786,746,1
1427,total,-19,11,874,0
1427,total,20-29,157,874,0
1427,total,30-49,1016,874,1
1427,total,50-64,1462,874,1
1427,total,65-74,1335,874,1
1427,total,75+,931,874,1
1430,man,-19,3,592,0
1430,man,20-29,193,592,0
1430,man,30-49,775,592,1
1430,man,50-64,979,592,1
1430,man,65-74,928,592,1
1430,man,75+,675,592,1
1430,woman,-19,2,329,0
1430,woman,20-29,135,329,0
1430,woman,30-49,466,329,1
1430,woman,50-64,575,329,1
1430,woman,65-74,518,329,1
1430,woman,75+,238,329,0
1430,total,-19,3,463,0
1430,total,20-29,165,463,0
1430,total,30-49,626,463,1
1430,total,50-64,786,463,1
1430,total,65-74,734,463,1
1430,total,75+,429,463,0
1435,man,20-29,257,973,0
1435,man,30-49,1170,973,1
1435,man,50-64,1715,973,1
1435,man,65-74,1422,973,1
1435,man,75+,1047,973,1
1435,woman,-19,2,574,0
1435,woman,20-29,173,574,0
1435,woman,30-49,710,574,1
1435,woman,50-64,1020,574,1
1435,woman,65-74,855,574,1
1435,woman,75+,536,574,0
1435,total,-19,2,774,0
1435,total,20-29,217,774,0
1435,total,30-49,944,774,1
1435,total,50-64,1374,774,1
1435,total,65-74,1142,774,1
1435,total,75+,764,774,0
1438,man,-19,2,644,0
1438,man,20-29,159,644,0
1438,man,30-49,769,644,1
1438,man,50-64,1174,644,1
1438,man,65-74,1070,644,1
1438,man,75+,785,644,1
1438,woman,20-29,98,346,0
1438,woman,30-49,430,346,1
1438,woman,50-64,657,346,1
1438,woman,65-74,507,346,1
1438,woman,75+,328,346,0
1438,total,-19,1,499,0
1438,total,20-29,130,499,0
1438,total,30-49,609,499,1
1438,total,50-64,920,499,1
1438,total,65-74,809,499,1
1438,total,75+,511,499,1
1439,man,20-29,220,656,0
1439,man,30-49,891,656,1
1439,man,50-64,1093,656,1
1439,man,65-74,967,656,1
1439,man,75+,749,656,1
1439,woman,20-29,89,317,0
1439,woman,30-49,467,317,1
1439,woman,50-64,554,317,1
1439,woman,65-74,424,317,1
1439,woman,75+,228,317,0
1439,total,-19,1,493,0
1439,total,20-29,162,493,0
1439,total,30-49,684,493,1
1439,total,50-64,839,493,1
1439,total,65-74,696,493,1
1439,total,75+,475,493,0
1440,man,20-29,231,669,0
1440,man,30-49,878,669,1
1440,man,50-64,1182,669,1
1440,man,65-74,1367,669,1
1440,man,75+,926,669,1
1440,woman,-19,1,497,0
1440,woman,20-29,283,497,0
1440,woman,30-49,764,497,1
1440,woman,50-64,857,497,1
1440,woman,65-74,622,497,1
1440,woman,75+,406,497,0
1440,total,-19,1,584,0
1440,total,20-29,256,584,0
1440,total,30-49,822,584,1
1440,total,50-64,1022,584,1
1440,total,65-74,1001,584,1
1440,total,75+,621,584,1
1441,man,-19,1,864,0
1441,man,20-29,243,864,0
1441,man,30-49,1154,864,1
1441,man,50-64,1576,864,1
1441,man,65-74,1744,864,1
1441,man,75+,1311,864,1
1441,woman,-19,1,707,0
1441,woman,20-29,297,707,0
1441,woman,30-49,1066,707,1
1441,woman,50-64,1240,707,1
1441,woman,65-74,983,707,1
1441,woman,75+,733,707,1
1441,total,-19,1,785,0
1441,total,20-29,268,785,0
1441,total,30-49,1109,785,1
1441,total,50-64,1407,785,1
1441,total,65-74,1361,785,1
1441,total,75+,978,785,1
1442,man,20-29,182,667,0
1442,man,30-49,920,667,1
1442,man,50-64,1344,667,1
1442,man,65-74,1051,667,1
1442,man,75+,621,667,0
1442,woman,20-29,163,380,0
1442,woman,30-49,605,380,1
1442,woman,50-64,699,380,1
1442,woman,65-74,516,380,1
1442,woman,75+,254,380,0
1442,total,-19,0,525,0
1442,total,20-29,173,525,0
1442,total,30-49,764,525,1
1442,total,50-64,1028,525,1
1442,total,65-74,795,525,1
1442,total,75+,410,525,0
1443,man,20-29,232,830,0
1443,man,30-49,1091,830,1
1443,man,50-64,1360,830,1
1443,man,65-74,1663,830,1
1443,man,75+,971,830,1
1443,woman,20-29,245,560,0
1443,woman,30-49,811,560,1
1443,woman,50-64,1038,560,1
1443,woman,65-74,759,560,1
1443,woman,75+,347,560,0
1443,total,-19,4,696,0
1443,total,20-29,238,696,0
1443,total,30-49,953,696,1
1443,total,50-64,1200,696,1
1443,total,65-74,1228,696,1
1443,total,75+,626,696,0
1444,man,20-29,187,749,0
1444,man,30-49,963,749,1
1444,man,50-64,1341,749,1
1444,man,65-74,1214,749,1
1444,man,75+,780,749,1
1444,woman,20-29,142,337,0
1444,woman,30-49,430,337,1
1444,woman,50-64,748,337,1
1444,woman,65-74,412,337,1
1444,woman,75+,199,337,0
1444,total,20-29,167,546,0
1444,total,30-49,704,546,1
1444,total,50-64,1055,546,1
1444,total,65-74,825,546,1
1444,total,75+,457,546,0
1445,man,20-29,251,582,0
1445,man,30-49,735,582,1
1445,man,50-64,1066,582,1
1445,man,65-74,890,582,1
1445,man,75+,481,582,0
1445,woman,-19,8,282,0
1445,woman,20-29,137,282,0
1445,woman,30-49,389,282,1
1445,woman,50-64,555,282,1
1445,woman,65-74,376,282,1
1445,woman,75+,174,282,0
1445,total,-19,5,433,0
1445,total,20-29,202,433,0
1445,total,30-49,567,433,1
1445,total,50-64,823,433,1
1445,total,65-74,626,433,1
1445,total,75+,304,433,0
1446,man,20-29,117,443,0
1446,man,30-49,477,443,1
1446,man,50-64,913,443,1
1446,man,65-74,552,443,1
1446,man,75+,370,443,0
1446,woman,-19,4,273,0
1446,woman,20-29,112,273,0
1446,woman,30-49,340,273,1
1446,woman,50-64,487,273,1
1446,woman,65-74,400,273,1
1446,woman,75+,205,273,0
1446,total,-19,2,358,0
1446,total,20-29,115,358,0
1446,total,30-49,410,358,1
1446,total,50-64,704,358,1
1446,total,65-74,478,358,1
1446,total,75+,275,358,0
1447,man,20-29,134,558,0
1447,man,30-49,701,558,1
1447,man,50-64,1031,558,1
1447,man,65-74,682,558,1
1447,man,75+,460,558,0
1447,woman,20-29,78,253,0
1447,woman,30-49,324,253,1
1447,woman,50-64,458,253,1
1447,woman,65-74,366,253,1
1447,woman,75+,161,253,0
1447,total,-19,0,409,0
1447,total,20-29,109,409,0
1447,total,30-49,517,409,1
1447,total,50-64,756,409,1
1447,total,65-74,532,409,1
1447,total,75+,288,409,0
1452,man,20-29,174,586,0
1452,man,30-49,703,586,1
1452,man,50-64,1097,586,1
1452,man,65-74,951,586,1
1452,man,75+,759,586,1
1452,woman,20-29,113,287,0
1452,woman,30-49,445,287,1
1452,woman,50-64,518,287,1
1452,woman,65-74,379,287,1
1452,woman,75+,181,287,0
1452,total,-19,0,440,0
1452,total,20-29,146,440,0
1452,total,30-49,578,440,1
1452,total,50-64,820,440,1
1452,total,65-74,673,440,1
1452,total,75+,420,440,0
1460,man,20-29,71,574,0
1460,man,30-49,589,574,1
1460,man,50-64,971,574,1
1460,man,65-74,976,574,1
1460,man,75+,780,574,1
1460,woman,-19,0,339,0
1460,woman,20-29,88,339,0
1460,woman,30-49,390,339,1
1460,woman,50-64,571,339,1
1460,woman,65-74,506,339,1
1460,woman,75+,377,339,1
1460,total,-19,1,459,0
1460,total,20-29,78,459,0
1460,total,30-49,495,459,1
1460,total,50-64,779,459,1
1460,total,65-74,749,459,1
1460,total,75+,544,459,1
1461,man,-19,1,624,0
1461,man,20-29,197,624,0
1461,man,30-49,795,624,1
1461,man,50-64,1181,624,1
1461,man,65-74,775,624,1
1461,man,75+,611,624,0
1461,woman,20-29,90,339,0
1461,woman,30-49,481,339,1
1461,woman,50-64,628,339,1
